country_code,product_line_code,platform_code,content_cnt,negative_cnt,positive_cnt,top_theme,top_competitor,last_update_time,persona_identity,persona_media,persona_brand,persona_competitor
HU,unknown,emaghu,2,1,0,nipple_pain,,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela, Philips Avent, Momcozy 等 listing 线索, Medela（多 SKU listing）；本土/其他（VOC提及候选）：Pesztonka, mellszívó, WHO, közegészségügy narratíva, A（类目页）"
ID,unknown,tokopedia,5,0,0,general,,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 东南亚妈妈人群高度依赖移动端和社媒，偏好短视频、社群口碑与本地化育儿内容同时存在。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 东南亚妈妈人群高度依赖移动端和社媒，偏好短视频、社群口碑与本地化育儿内容同时存在。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 东南亚妈妈人群高度依赖移动端和社媒，偏好短视频、社群口碑与本地化育儿内容同时存在。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela（以站点导航为准）；本土/其他（VOC提及候选）：Sumo Baby, pompa asi, menyusui, ASI, breast pump, wearable, review, pompa ASI"
IN,breast_pump,amazonin,10,1,1,battery_life,,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 印度妈妈群体对社区互动和专家型内容接受度都高，社媒、社区和电商内容之间联动明显。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 印度妈妈群体对社区互动和专家型内容接受度都高，社媒、社区和电商内容之间联动明显。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 印度妈妈群体对社区互动和专家型内容接受度都高，社媒、社区和电商内容之间联动明显。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Philips Avent, Medela, Medela（以视频结果为准）；本土/其他（VOC提及候选）：Luvlap, Roboson, breast pump, LuvLap, breastfeeding, best breast pump, pumping, wearable"
IN,unknown,amazonin,16,1,9,general,,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 印度妈妈群体对社区互动和专家型内容接受度都高，社媒、社区和电商内容之间联动明显。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 印度妈妈群体对社区互动和专家型内容接受度都高，社媒、社区和电商内容之间联动明显。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 印度妈妈群体对社区互动和专家型内容接受度都高，社媒、社区和电商内容之间联动明显。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Philips Avent, Medela, Medela（以视频结果为准）；本土/其他（VOC提及候选）：Luvlap, Roboson, breast pump, LuvLap, breastfeeding, best breast pump, pumping, wearable"
MX,unknown,babycenter_en_espaol,5,0,1,general,Avent,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 拉美西语市场高度依赖社媒与妈妈群口碑，真实经验、优惠触达和阶段性育儿内容的影响力都很强。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 拉美西语市场高度依赖社媒与妈妈群口碑，真实经验、优惠触达和阶段性育儿内容的影响力都很强。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 拉美西语市场高度依赖社媒与妈妈群口碑，真实经验、优惠触达和阶段性育儿内容的影响力都很强。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Philips Avent, Momcozy, Medela, Avent, Medela Harmony, Medela accessories, Pigeon portátil, Philips Avent Manual；本土/其他（VOC提及候选）：manual, extractor eléctrico"
AT,breast_pump,urbiade,4,0,0,general,Momcozy,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 德语区用户习惯在专业育儿站与论坛中做深度对比，决策更看重功能细节与专家答疑。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 德语区用户习惯在专业育儿站与论坛中做深度对比，决策更看重功能细节与专家答疑。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 德语区用户习惯在专业育儿站与论坛中做深度对比，决策更看重功能细节与专家答疑。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela, Philips Avent, Momcozy, Medela（检索意图）, Ardo 等（以线程为准）, NUK 等（以搜索结果为准）, Medela 系列（以搜索结果为准）, Ardo；本土/其他（VOC提及候选）：（公共健康语境, 无单一商业型号测评）, 无品牌）"
GR,unknown,youtube,1,0,0,general,,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela, Momcozy, Philips, Momcozy S9 Pro, Philips（页面展示约 18 个商品线索；本土/其他（VOC提及候选）：Lionelo Twee Go, αντλία θηλασμού, Lorelli 等品牌分布线索, WHO, public health, 用户提问, 教程"
DE,breast_pump,amazonde,7,0,2,app_connectivity,Medela,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 德语区用户习惯在专业育儿站与论坛中做深度对比，决策更看重功能细节与专家答疑。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 德语区用户习惯在专业育儿站与论坛中做深度对比，决策更看重功能细节与专家答疑。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 德语区用户习惯在专业育儿站与论坛中做深度对比，决策更看重功能细节与专家答疑。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela Swing Maxi Hands-free, Medela Magic InBra, Momcozy M5；本土/其他（VOC提及候选）：FluidFeel Technology, Hebamme, Rezept"
IT,unknown,alfemminile_forum,3,0,0,general,MomCozy,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 意大利妈妈更关注舒适体验、家庭日常场景与真实口碑，内容消费偏温和但重信任。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 意大利妈妈更关注舒适体验、家庭日常场景与真实口碑，内容消费偏温和但重信任。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 意大利妈妈更关注舒适体验、家庭日常场景与真实口碑，内容消费偏温和但重信任。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela, Spectra, MomCozy 等（以讨论帖为准；本土/其他（VOC提及候选）：tiralatte, consigli（以栏目与稿件为准）, 待下钻）, 手动"
IT,unknown,amazonit,31,0,5,general,Elvie,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 意大利妈妈更关注舒适体验、家庭日常场景与真实口碑，内容消费偏温和但重信任。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 意大利妈妈更关注舒适体验、家庭日常场景与真实口碑，内容消费偏温和但重信任。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 意大利妈妈更关注舒适体验、家庭日常场景与真实口碑，内容消费偏温和但重信任。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela, Spectra, MomCozy 等（以讨论帖为准；本土/其他（VOC提及候选）：tiralatte, consigli（以栏目与稿件为准）, 待下钻）, 手动"
NO,unknown,babyverden_forum,3,0,0,general,,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 挪威家长偏好本地育儿论坛与官方健康信息结合，决策节奏偏理性。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 挪威家长偏好本地育儿论坛与官方健康信息结合，决策节奏偏理性。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 挪威家长偏好本地育儿论坛与官方健康信息结合，决策节奏偏理性。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela, Spectra, Philips；本土/其他（VOC提及候选）：håndmelking, 政策, amming, tester"
NO,unknown,youtube,1,0,0,general,,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 挪威家长偏好本地育儿论坛与官方健康信息结合，决策节奏偏理性。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 挪威家长偏好本地育儿论坛与官方健康信息结合，决策节奏偏理性。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 挪威家长偏好本地育儿论坛与官方健康信息结合，决策节奏偏理性。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela, Spectra, Philips；本土/其他（VOC提及候选）：håndmelking, 政策, amming, tester"
CZ,unknown,youtube,1,0,0,general,,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela, Philips Avent, Spectra, Philips, Spectra 等（以搜索结果置顶为准）；本土/其他（VOC提及候选）：elektrické, manuální 产品线（以类目为准）, obecné typy odsávaček, kojení"
BE,unknown,doctissimo_forum__magicmaman_forum,3,0,0,general,,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 法语用户偏好内容与论坛并重，常通过论坛讨论、编辑部内容和专家文章完成选购决策。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 法语用户偏好内容与论坛并重，常通过论坛讨论、编辑部内容和专家文章完成选购决策。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 法语用户偏好内容与论坛并重，常通过论坛讨论、编辑部内容和专家文章完成选购决策。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Spectra, Ardo, Medela, Philips, Philips Avent 等（以栏目为准）；本土/其他（VOC提及候选）：tire-lait, borstkolf, 测评选题（以首页与栏目为准）, 返岗泵奶, 机型对比（需点进线程）"
